Q,clip,W,D,snr_db,ber,n_errors,n_bits,ci_low,ci_high
4,1.5,10,24,4.5,1.621246337890625e-05,544,33554432,1.3595587574152601e-05,1.8829339183659897e-05
4,1.5,10,24,5.0,2.205371856689453e-06,444,201326592,1.8446347001189187e-06,2.5661090132599877e-06
4,1.5,10,24,5.5,2.8312206268310547e-07,57,201326592,1.6349739568182907e-07,4.0274672968438184e-07
4,1.5,10,32,4.0,3.859400749206543e-05,1295,33554432,3.3709644125402246e-05,4.3478370858728614e-05
4,1.5,10,32,4.5,6.397565205891927e-06,644,100663296,5.310363955747788e-06,7.484766456036066e-06
4,1.5,10,32,5.0,9.834766387939453e-07,198,201326592,6.840738605196282e-07,1.2828794170682624e-06
4,1.5,10,32,5.5,1.7384688059488931e-07,35,201326592,2.3973501893529037e-08,3.237202592962496e-07
4,1.5,10,48,4.0,3.471970558166504e-05,1165,33554432,3.0080493601580335e-05,3.9358917561749743e-05
4,1.5,10,48,4.5,6.631016731262207e-06,445,67108864,5.260494695642047e-06,8.001538766882367e-06
4,1.5,10,48,5.0,9.685754776000977e-07,195,201326592,6.94110607723225e-07,1.2430403474769703e-06
4,1.5,10,48,5.5,1.241763432820638e-07,25,201326592,2.068854515477711e-08,2.276641414093505e-07
4,1.5,10,64,4.0,3.3348798751831055e-05,1119,33554432,2.8560753504832962e-05,3.813684399882915e-05
4,1.5,10,64,4.5,5.8909257253011065e-06,593,100663296,4.8508374500090475e-06,6.9310140005931655e-06
4,1.5,10,64,5.0,9.735425313313801e-07,196,201326592,6.924248391759442e-07,1.254660223486816e-06
4,1.5,10,64,5.5,2.9802322387695312e-08,6,201326592,0.0,7.334037938945441e-08
4,2.0,8,32,2.0,0.010725468397140503,359887,33554432,0.010614949801442095,0.01083598699283891
4,2.0,8,32,3.0,0.0014593005180358887,48966,33554432,0.0014265202726673626,0.0014920807634044148
4,2.0,8,32,4.0,0.00041091442108154297,13788,33554432,0.0003957012977408931,0.0004261275444221928
4,2.0,8,32,5.0,0.00229761004447937,77095,33554432,0.0022623338603891857,0.0023328862285695545
4,2.0,8,32,6.0,0.0175609290599823,589247,33554432,0.017479722296274133,0.017642135823690466
4,2.0,8,32,7.0,0.051189959049224854,1717650,33554432,0.05109494717420233,0.05128497092424738
4,2.0,10,24,4.0,6.0558319091796875e-05,2032,33554432,5.519636201931104e-05,6.592027616428272e-05
4,2.0,10,24,4.5,1.1712312698364258e-05,786,67108864,1.0037943789542038e-05,1.3386681607186478e-05
4,2.0,10,24,5.0,1.9222497940063477e-06,387,201326592,1.5479425350173753e-06,2.2965570529953203e-06
4,2.0,10,24,5.5,1.44044558207194e-07,29,201326592,6.317834302779447e-08,2.2491077338659353e-07
4,2.0,10,32,4.0,2.98917293548584e-05,1003,33554432,2.5429959659518237e-05,3.435349905019856e-05
4,2.0,10,32,4.5,4.967053731282552e-06,500,100663296,4.010109172318711e-06,5.9239982902463925e-06
4,2.0,10,32,5.0,8.443991343180338e-07,170,201326592,5.795925646345403e-07,1.1092057040015275e-06
4,2.0,10,32,5.5,7.947285970052083e-08,16,201326592,3.8246961051374404e-10,1.585632497905279e-07
4,2.0,10,48,4.0,2.1010637283325195e-05,705,33554432,1.75098089568727e-05,2.4511465609777692e-05
4,2.0,10,48,4.5,3.4347176551818848e-06,461,134217728,2.6910467239938614e-06,4.178388586369908e-06
4,2.0,10,48,5.0,7.599592208862305e-07,153,201326592,5.089278636995317e-07,1.0109905780729292e-06
4,2.0,10,48,5.5,1.1920928955078125e-07,24,201326592,1.1679019972285083e-08,2.2673955912927742e-07
4,2.0,10,64,4.0,2.5212764739990234e-05,846,33554432,2.1041145850009554e-05,2.9384383629970915e-05
4,2.0,10,64,4.5,4.8478444417317706e-06,488,100663296,3.887711899469198e-06,5.807976983994343e-06
4,2.0,10,64,5.0,7.549921671549479e-07,152,201326592,5.037718090811825e-07,1.0062125252287133e-06
4,2.0,10,64,5.5,6.953875223795573e-08,14,201326592,0.0,1.5328569626373509e-07
4,2.5,10,24,4.0,6.282329559326172e-05,2108,33554432,5.711477774605318e-05,6.853181344047027e-05
