Q,W,D,clip,power_gated,nf_db,p_circuit_mw,e_dec_pj_per_bit,model,env,eta_pa,dstar_m
6,12,64,3.0,True,3.0,120,469.6431,B,indoor,0.1,126.982
6,12,64,3.0,True,6.0,20,469.6431,A,free_space,0.1,212.323
6,12,64,3.0,True,6.0,20,469.6431,A,indoor,0.1,21.365
6,12,64,3.0,True,6.0,20,469.6431,B,free_space,0.1,1401.739
6,12,64,3.0,True,6.0,20,469.6431,B,indoor,0.1,62.82
6,12,64,3.0,True,6.0,60,469.6431,A,free_space,0.1,212.323
6,12,64,3.0,True,6.0,60,469.6431,A,indoor,0.1,21.365
6,12,64,3.0,True,6.0,60,469.6431,B,free_space,0.1,2409.244
6,12,64,3.0,True,6.0,60,469.6431,B,indoor,0.1,85.606
6,12,64,3.0,True,6.0,120,469.6431,A,free_space,0.1,212.323
6,12,64,3.0,True,6.0,120,469.6431,A,indoor,0.1,21.365
6,12,64,3.0,True,6.0,120,469.6431,B,free_space,0.1,3400.564
6,12,64,3.0,True,6.0,120,469.6431,B,indoor,0.1,104.239
6,12,64,3.0,True,10.0,20,469.6431,A,free_space,0.1,133.966
6,12,64,3.0,True,10.0,20,469.6431,A,indoor,0.1,16.422
6,12,64,3.0,True,10.0,20,469.6431,B,free_space,0.1,884.438
6,12,64,3.0,True,10.0,20,469.6431,B,indoor,0.1,48.285
6,12,64,3.0,True,10.0,60,469.6431,A,free_space,0.1,133.966
6,12,64,3.0,True,10.0,60,469.6431,A,indoor,0.1,16.422
6,12,64,3.0,True,10.0,60,469.6431,B,free_space,0.1,1520.13
6,12,64,3.0,True,10.0,60,469.6431,B,indoor,0.1,65.799
6,12,64,3.0,True,10.0,120,469.6431,A,free_space,0.1,133.966
6,12,64,3.0,True,10.0,120,469.6431,A,indoor,0.1,16.422
6,12,64,3.0,True,10.0,120,469.6431,B,free_space,0.1,2145.611
6,12,64,3.0,True,10.0,120,469.6431,B,indoor,0.1,80.12
6,12,64,3.0,False,3.0,20,469.875,A,free_space,0.1,299.988
6,12,64,3.0,False,3.0,20,469.875,A,indoor,0.1,26.031
6,12,64,3.0,False,3.0,20,469.875,B,free_space,0.1,1980.021
